Security,GICS Sub-Industry,Headquarters Location,hiring_software_engineers
Universal Health Services,Health Care Facilities,"King of Prussia, Pennsylvania",False
Valero Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",False
Veralto,Environmental & Facilities Services,"Waltham, Massachusetts",False
Verisk,Research & Consulting Services,"Jersey City, New Jersey",False
Verizon,Integrated Telecommunication Services,"New York City, New York",False
Vertex Pharmaceuticals,Biotechnology,"Cambridge, Massachusetts",False
Viatris,Pharmaceuticals,"Pittsburgh, Pennsylvania",False
Visa Inc.,Transaction & Payment Processing Services,"San Francisco, California",False
Vistra,Electric Utilities,"Irving, Texas",False
Vulcan Materials Company,Construction Materials,"Birmingham, Alabama",False
W. R. Berkley Corporation,Property & Casualty Insurance,"Greenwich, Connecticut",False
W. W. Grainger,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",False
Wabtec,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",False
Walgreens Boots Alliance,Drug Retail,"Deerfield, Illinois",False
Walmart,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",False
Walt Disney Company (The),Movies & Entertainment,"Burbank, California",False
Warner Bros. Discovery,Broadcasting,"New York City, New York",False
Waste Management,Environmental & Facilities Services,"Houston, Texas",False
Waters Corporation,Life Sciences Tools & Services,"Milford, Massachusetts",False
WEC Energy Group,Electric Utilities,"Milwaukee, Wisconsin",False
Wells Fargo,Diversified Banks,"San Francisco, California",False
West Pharmaceutical Services,Health Care Supplies,"Exton, Pennsylvania",False
WestRock,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia",False
Williams Companies,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",False
Willis Towers Watson,Insurance Brokers,"London, United Kingdom",False
Wynn Resorts,Casinos & Gaming,"Paradise, Nevada",False
